times,high,circle,density_pre,density_eve
2452351.273373019,482.66791,75.66058,1.653e-12,3.811e-12
2452351.625650729,482.96974,84.54439,1.743e-12,2.459e-12
2452351.6967322,482.98185,82.83843,1.751e-12,2.232e-12
2452351.864482339,483.01381,78.81243,1.756e-12,2.31e-12
2452352.389910019,482.96727,92.99768,1.736e-12,2.204e-12
2452352.6526227,482.93791,86.69257,1.72e-12,2.063e-12
2452353.24371716,482.94643,72.5063,1.65e-12,2.011e-12
2452353.44075057,482.89371,77.23459,1.622e-12,2.008e-12
2452354.03184094,482.84736,77.23405,1.598e-12,1.874e-12
2452354.42589709,482.85567,80.38608,1.652e-12,2.294e-12
2452355.14833352,482.80271,74.08052,1.723e-12,2.267e-12
2452355.345361069,482.80365,81.96092,1.773e-12,2.835e-12
2452356.26481316,482.71711,83.53524,1.744e-12,2.911e-12
2452356.658858379,482.68503,74.07815,1.792e-12,3.071e-12
2452357.24992633,482.64895,77.22945,1.845e-12,2.712e-12
2452357.775317039,482.66797,81.95708,1.757e-12,2.875e-12
2452358.23502176,482.69549,74.07598,1.645e-12,2.776e-12
2452358.76039955,482.49672,83.53179,1.501e-12,1.974e-12
2452359.15441633,482.45682,74.07539,1.49e-12,1.79e-12
2452359.74544805,482.43518,74.07523,1.449e-12,1.648e-12
2452360.205140419,482.43552,72.49883,1.4e-12,1.407e-12
2452360.467819999,482.9469,86.68304,1.453e-12,1.544e-12
2452361.19019536,482.4638,96.13831,1.62e-12,9.982e-13
2452361.321520789,482.44782,92.9865,1.63e-12,1.113e-12
2452362.24089077,482.35589,94.56152,1.856e-12,1.253e-12
2452362.831916,482.86562,80.37692,1.945e-12,1.281e-12
2452363.225925109,482.05953,72.49667,2.029e-12,1.403e-12
2452363.29159532,482.05092,92.98424,2.081e-12,1.542e-12
2452364.079613409,481.73039,74.07181,2.167e-12,1.66e-12
2452365.19595809,481.80818,72.49494,2.189e-12,1.684e-12
2452366.18095429,481.53599,72.49418,2.107e-12,1.626e-12
2452366.24661953,481.52534,94.55713,2.034e-12,1.632e-12
2452367.165938769,481.259,72.49346,1.981e-12,1.595e-12
2452367.55992989,481.19502,89.82818,1.92e-12,1.603e-12
2452368.216580499,481.03074,74.06856,1.867e-12,1.61e-12
2452368.74189622,481.02706,85.09946,1.839e-12,1.501e-12
2452369.201545259,481.00436,74.06788,1.823e-12,1.479e-12
2452370.18649978,480.95706,72.49133,1.797e-12,1.389e-12
2452370.25216305,480.95381,83.52242,1.774e-12,1.399e-12
2452371.302770629,480.96407,92.97665,1.715e-12,1.476e-12
2452372.28770695,480.51213,94.55143,1.719e-12,1.575e-12
2452372.61601741,480.49708,86.67197,1.697e-12,1.579e-12
2452373.206972,480.49037,72.48906,1.713e-12,1.639e-12
2452373.73226378,480.46072,85.09506,1.827e-12,1.708e-12
2452374.191891029,480.37268,74.064,1.851e-12,1.738e-12
2452375.17679787,480.13082,72.4874,2.02e-12,1.695e-12
2452376.22734969,479.98728,83.51693,2.177e-12,1.922e-12
2452376.22734969,479.98728,83.51693,2.177e-12,1.922e-12
2452377.277891079,479.49992,94.54587,2.085e-12,1.986e-12
2452378.19710625,479.23727,72.48471,2.062e-12,2.08e-12
2452378.32842162,479.15685,92.96901,1.998e-12,1.75e-12
2452379.181967659,479.0177,72.4839,1.908e-12,1.755e-12
2452379.70722171,478.90789,83.51339,2.145e-12,1.731e-12
2452380.166814149,478.95505,72.48317,2.202e-12,1.597e-12
2452381.21730253,478.82287,72.48232,2.337e-12,1.682e-12
2452382.202130329,478.56403,72.48114,2.624e-12,2.425e-12
2452383.18694641,478.18169,72.48007,2.304e-12,2.338e-12
2452385.222177709,477.8421,81.93232,1.727e-12,1.061e-12
2452385.550436099,477.83318,74.05412,1.661e-12,1.011e-12
2452386.20694928,477.78919,94.53686,1.605e-12,9.704e-13
2452386.60085305,478.12899,85.08317,1.627e-12,1.559e-12
2452387.19172486,478.00167,81.93128,1.578e-12,1.129e-12
2452387.65128319,479.25276,85.08225,1.504e-12,2.326e-12
2452388.17652439,477.65349,72.47646,1.469e-12,6.141e-13
2452388.63602423,478.14432,72.47746,1.376e-12,1.209e-12
2452389.161243489,478.12188,72.47663,1.317e-12,1.032e-12
2452390.14598522,478.07988,72.47623,1.372e-12,9.603e-13
2452390.60552811,477.59943,85.08037,1.38e-12,1.199e-12
2452391.19637703,477.64795,81.92874,1.41e-12,1.171e-12
2452391.655918309,478.01614,83.50412,1.414e-12,9.313e-13
2452392.181103109,477.5033,83.5039,1.415e-12,1.145e-12
2452393.165828059,477.31319,96.10705,1.264e-12,1.146e-12
2452394.150543329,477.03812,72.47388,1.233e-12,1.154e-12
2452394.610074449,477.03033,85.07756,1.232e-12,1.136e-12
2452395.13525673,477.07976,72.47319,1.223e-12,1.234e-12
2452395.660432139,476.9149,83.50132,1.242e-12,1.065e-12
2452397.17028853,476.74227,72.47234,1.322e-12,9.638e-13
2452398.154972849,476.66595,96.10365,1.377e-12,1.174e-12
2452398.54884658,476.64839,86.65068,1.386e-12,1.178e-12
2452399.13965376,476.69749,72.47131,1.393e-12,1.238e-12
2452399.59916761,476.66923,85.0743,1.454e-12,1.351e-12
2452400.189969359,476.65117,94.5262,1.467e-12,1.474e-12
2452400.649479719,476.56155,83.49795,1.488e-12,1.508e-12
2452401.108988959,476.54745,72.46973,1.517e-12,1.575e-12
2452402.159291749,476.32163,72.46886,1.487e-12,1.505e-12
2452403.143930139,476.13944,72.46835,1.487e-12,1.396e-12
2452404.12856114,476.08589,72.46775,1.693e-12,1.368e-12
2452405.178827459,476.04428,96.09706,1.623e-12,1.407e-12
2452406.163444819,476.04854,72.46625,1.634e-12,1.468e-12
2452407.148050639,476.01199,83.49289,1.4e-12,1.324e-12
2452407.60753061,475.99356,72.46537,1.388e-12,1.316e-12
2452408.132648169,476.27267,72.46508,1.326e-12,1.176e-12
2452409.182871779,476.30609,94.51884,1.156e-12,9.861e-13
2452410.101813049,476.37816,72.46424,1.057e-12,9.317e-13
2452410.626920919,476.39758,85.06633,1.093e-12,8.014e-13
2452411.152026429,476.25245,72.4638,1.09e-12,7.885e-13
2452412.13659535,476.24386,96.09255,1.112e-12,7.153e-13
2452413.121156579,476.30604,72.46308,1.15e-12,6.517e-13
2452413.58061705,476.32392,85.065,1.164e-12,6.875e-13
2452414.171351249,476.76568,81.91419,1.133e-12,8.317e-13
2452414.56517342,476.76429,72.46245,1.158e-12,8.498e-13
2452415.09026732,476.74195,72.46209,1.191e-12,1.029e-12
2452416.140451469,476.82487,96.08995,1.244e-12,1.145e-12
2452417.124992109,476.86013,72.46098,1.28e-12,1.213e-12
2452417.58444237,476.83217,72.46079,1.251e-12,8.852e-13
2452418.109521219,477.27771,83.48725,1.199e-12,9.545e-13
2452419.028413,477.06922,74.03537,1.047e-12,9.356e-13
2452419.094047159,476.96177,72.46015,1.05e-12,9.829e-13
2452420.14419953,476.93525,94.51234,1.161e-12,9.323e-13
2452420.603641749,477.36049,83.48573,1.174e-12,1.179e-12
2452421.063082539,477.35288,72.45915,1.197e-12,1.275e-12
2452421.588156539,477.19695,85.06015,1.164e-12,1.044e-12
2452422.113219949,477.18503,72.45862,1.148e-12,1.073e-12
2452423.032086949,477.20094,72.45815,1.046e-12,1.067e-12
2452423.097720089,477.199,81.90908,1.018e-12,1.052e-12
2452424.08221379,477.18522,72.45763,9.463e-13,9.4e-13
2452425.13232928,477.48862,94.5092,9.807e-13,8.941e-13
2452426.0511766,477.54148,72.45687,9.831e-13,8.733e-13
2452426.51059849,477.562,85.05765,9.97e-13,9.322e-13
2452427.101281759,477.75379,83.48222,1.027e-12,9.839e-13
2452427.56070367,477.76225,72.45609,1.052e-12,9.935e-13
2452428.08575189,477.83259,72.45587,1.023e-12,9.74e-13
2452429.07021269,478.17731,72.45546,9.22e-13,9.7e-13
2452430.054667179,478.41801,72.4551,8.43e-13,8.68e-13
2452430.579707469,478.46402,83.48051,7.893e-13,8.284e-13
2452431.104746649,478.55882,94.50589,8.103e-13,7.94e-13
2452431.95793118,478.66016,74.02946,8.132e-13,7.531e-13
2452432.08919,478.81873,81.90481,8.131e-13,7.493e-13
2452433.00800064,478.57256,74.02907,8.457e-13,6.654e-13
2452433.07362968,478.57075,72.45397,8.483e-13,6.601e-13
2452434.058062059,478.59097,96.0797,8.79e-13,6.643e-13
2452435.04249186,478.70721,72.45339,8.53e-13,6.499e-13
2452435.501890359,478.75634,85.05371,8.248e-13,6.709e-13
2452436.092545229,478.82085,81.90336,8.034e-13,7.284e-13
2452436.55194434,478.81113,85.05322,7.602e-13,7.267e-13
2452438.061383069,478.99675,92.92787,6.684e-13,6.4e-13
2452439.04579477,478.9749,72.45212,6.519e-13,5.399e-13
2452439.50518523,478.9647,85.05239,6.632e-13,4.699e-13
2452440.095828639,478.95228,103.95263,6.705e-13,4.278e-13
2452440.555216819,478.90094,92.92731,6.779e-13,4.039e-13
