TIME,Kp,Kp,Kp,Kp,Kp,Kp,Kp,Kp,Sum,Ap,Ap,Ap,Ap,Ap,Ap,Ap,Ap,Avg,Cp,C9,ISN,F10.7,Q,Ctr81,Lst81,F10.7,Ctr81,Lst81
1,33,37,40,37,47,37,37,37,303,18,22,27,22,39,22,22,22,24,1.2,6,32,112.2,0,116.2,135.5,116,119.9,138.5
2,40,30,20,23,30,30,33,30,237,27,15,7,9,15,15,18,15,15,0.9,4,40,112.6,0,115.5,135.7,116.5,119.1,138.8
3,27,33,40,43,33,30,47,33,287,12,18,27,32,18,15,39,18,22,1.1,5,45,112.3,0,114.7,136,116.1,118.3,139.1
4,33,37,37,37,37,43,37,30,290,18,22,22,22,22,32,22,15,22,1.1,5,46,115.5,0,113.9,136.2,119.4,117.4,139.4
5,40,33,33,30,40,47,40,43,307,27,18,18,15,27,39,27,32,25,1.2,6,44,119,0,113.1,136.6,123,116.6,139.7
6,37,37,40,23,17,20,30,60,263,22,22,27,9,6,7,15,80,24,1.1,5,39,113.4,0,112.2,136.7,117.3,115.8,140
7,37,43,50,43,43,43,37,27,323,22,32,48,32,32,32,22,12,29,1.3,6,50,114.9,0,111.3,136.8,118.8,114.8,140.1
8,17,3,7,20,20,13,20,33,133,6,2,3,7,7,5,7,18,7,0.3,1,53,116.1,0,110.5,136.8,120.1,114,140.1
9,30,33,50,33,33,43,37,27,287,15,18,48,18,18,32,22,12,23,1.1,5,38,114.4,0,109.7,136.5,118.4,113.2,139.9
10,33,43,53,37,40,37,40,20,303,18,32,56,22,27,22,27,7,26,1.2,6,36,115.3,0,109.1,136.1,119.2,112.5,139.5
11,20,13,27,37,47,47,33,20,243,7,5,12,22,39,39,18,7,19,1,5,32,114.6,0,108.5,135.7,118.5,111.9,139
12,13,20,3,3,20,27,33,37,157,5,7,2,2,7,12,18,22,9,0.5,2,29,114.4,0,108,134.8,118.3,111.4,138.2
13,33,27,20,20,43,43,37,40,263,18,12,7,7,32,32,22,27,20,1,5,35,114.1,0,107.8,133.9,117.9,111.1,137.3
14,40,27,17,20,30,23,20,27,203,27,12,6,7,15,9,7,12,12,0.7,3,34,117.1,0,107.6,132.7,121.1,111,136.1
15,23,30,10,17,40,40,40,40,240,9,15,4,6,27,27,27,27,18,1,5,43,115.2,0,107.6,131.1,119.1,110.9,134.6
16,47,33,23,43,37,47,47,43,320,39,18,9,32,22,39,39,32,29,1.3,6,50,116.4,0,107.7,129.4,120.3,111,132.9
17,30,33,30,33,27,30,40,40,263,15,18,15,18,12,15,27,27,18,1,5,49,118.6,0,108.1,127.5,122.6,111.4,131
18,23,37,37,27,27,17,43,43,253,9,22,22,12,12,6,32,32,18,1,5,43,115.6,0,108.4,125.6,119.5,111.7,129
19,30,27,23,27,37,43,33,37,257,15,12,9,12,22,32,18,22,18,1,5,54,130.3,0,108.7,123.9,134.6,112,127.3
20,33,37,30,27,37,43,27,30,263,18,22,15,12,22,32,12,15,18,1,5,61,124.8,0,109,122.4,128.9,112.3,125.9
21,23,30,37,27,33,23,33,27,233,9,15,22,12,18,9,18,12,14,0.8,4,61,126,0,109.2,121.4,130.1,112.5,124.9
22,50,50,50,70,67,40,53,47,427,48,48,48,132,111,27,56,39,64,1.7,7,49,117.9,0,109.3,120.5,121.8,112.6,124
23,43,43,40,47,43,60,57,43,377,32,32,27,39,32,80,67,32,43,1.5,7,42,111.6,0,109.4,119.9,115.2,112.7,123.4
