time,velocity,density,density_new
0,7657.209,5.36E-12,4.49E-12
10,7656.958,5.23E-12,4.37E-12
20,7656.708,5.02E-12,4.17E-12
30,7656.462,4.73E-12,3.94E-12
40,7656.217,4.42E-12,3.68E-12
50,7655.976,4.06E-12,3.38E-12
60,7655.737,3.70E-12,3.08E-12
70,7655.5,3.56E-12,2.96E-12
80,7655.267,3.62E-12,3.02E-12
90,7655.036,3.73E-12,3.10E-12
100,7654.807,3.79E-12,3.16E-12
110,7654.582,3.76E-12,3.14E-12
120,7654.359,3.53E-12,2.95E-12
130,7654.139,3.24E-12,2.71E-12
140,7653.922,2.99E-12,2.51E-12
150,7653.707,2.76E-12,2.31E-12
160,7653.496,2.55E-12,2.14E-12
170,7653.287,2.45E-12,2.06E-12
180,7653.081,2.58E-12,2.17E-12
190,7652.878,2.92E-12,2.46E-12
200,7652.678,3.38E-12,2.86E-12
210,7652.481,3.67E-12,3.11E-12
220,7652.286,3.72E-12,3.16E-12
230,7652.095,3.73E-12,3.17E-12
240,7651.906,3.83E-12,3.27E-12
250,7651.72,4.02E-12,3.43E-12
260,7651.537,4.13E-12,3.53E-12
270,7651.356,4.12E-12,3.53E-12
280,7651.179,4.10E-12,3.50E-12
290,7651.004,4.23E-12,3.61E-12
300,7650.831,4.56E-12,3.89E-12
310,7650.662,5.04E-12,4.29E-12
320,7650.495,4.99E-12,4.24E-12
330,7650.33,4.85E-12,4.11E-12
340,7650.169,4.64E-12,3.93E-12
350,7650.01,4.57E-12,3.86E-12
360,7649.853,4.61E-12,3.88E-12
370,7649.699,4.61E-12,3.88E-12
380,7649.547,4.57E-12,3.84E-12
390,7649.398,4.53E-12,3.80E-12
400,7649.251,4.51E-12,3.78E-12
410,7649.107,4.42E-12,3.70E-12
420,7648.964,4.30E-12,3.60E-12
430,7648.824,4.30E-12,3.59E-12
440,7648.686,4.32E-12,3.61E-12
450,7648.551,4.37E-12,3.65E-12
460,7648.417,4.42E-12,3.68E-12
470,7648.285,4.46E-12,3.72E-12
480,7648.156,4.50E-12,3.75E-12
490,7648.028,4.49E-12,3.74E-12
500,7647.902,4.49E-12,3.74E-12
510,7647.779,4.42E-12,3.68E-12
520,7647.656,4.35E-12,3.62E-12
530,7647.536,4.31E-12,3.59E-12
540,7647.417,4.27E-12,3.55E-12
550,7647.3,4.24E-12,3.53E-12
560,7647.184,4.25E-12,3.53E-12
570,7647.07,4.26E-12,3.54E-12
580,7646.957,4.31E-12,3.58E-12
590,7646.845,4.36E-12,3.63E-12
600,7646.735,4.38E-12,3.64E-12
610,7646.625,4.37E-12,3.63E-12
620,7646.517,4.37E-12,3.64E-12
630,7646.409,4.40E-12,3.67E-12
640,7646.303,4.43E-12,3.70E-12
650,7646.197,4.45E-12,3.72E-12
660,7646.091,4.45E-12,3.72E-12
