ID,KP,AP,F10.7,DENSITY
0,3.30E+01,1.80E+01,1.16E+02,1.77E-12
60,3.30E+01,1.80E+01,1.16E+02,1.66E-12
120,3.30E+01,1.80E+01,1.16E+02,1.91E-12
180,3.30E+01,1.80E+01,1.16E+02,2.02E-12
240,3.30E+01,1.80E+01,1.16E+02,2.17E-12
300,3.30E+01,1.80E+01,1.16E+02,2.18E-12
360,3.30E+01,1.80E+01,1.16E+02,2.06E-12
420,3.30E+01,1.80E+01,1.16E+02,2.06E-12
480,3.30E+01,1.80E+01,1.16E+02,2.25E-12
540,3.30E+01,1.80E+01,1.16E+02,2.42E-12
600,3.30E+01,1.80E+01,1.16E+02,2.23E-12
660,3.30E+01,1.80E+01,1.16E+02,2.27E-12
720,3.30E+01,1.80E+01,1.16E+02,2.26E-12
780,3.30E+01,1.80E+01,1.16E+02,2.37E-12
840,3.30E+01,1.80E+01,1.16E+02,2.56E-12
900,3.30E+01,1.80E+01,1.16E+02,2.62E-12
960,3.30E+01,1.80E+01,1.16E+02,2.74E-12
1020,3.30E+01,1.80E+01,1.16E+02,2.86E-12
1080,3.30E+01,1.80E+01,1.16E+02,3.04E-12
1140,3.30E+01,1.80E+01,1.16E+02,3.09E-12
1200,3.30E+01,1.80E+01,1.16E+02,3.08E-12
1260,3.30E+01,1.80E+01,1.16E+02,3.11E-12
1320,3.30E+01,1.80E+01,1.16E+02,3.13E-12
1380,3.30E+01,1.80E+01,1.16E+02,3.21E-12
1440,3.30E+01,1.80E+01,1.16E+02,3.16E-12
1500,3.30E+01,1.80E+01,1.16E+02,3.03E-12
1560,3.30E+01,1.80E+01,1.16E+02,3.02E-12
1620,3.30E+01,1.80E+01,1.16E+02,2.95E-12
1680,3.30E+01,1.80E+01,1.16E+02,2.93E-12
1740,3.30E+01,1.80E+01,1.16E+02,2.93E-12
1800,3.30E+01,1.80E+01,1.16E+02,3.01E-12
1860,3.30E+01,1.80E+01,1.16E+02,3.08E-12
1920,3.30E+01,1.80E+01,1.16E+02,3.16E-12
1980,3.30E+01,1.80E+01,1.16E+02,3.19E-12
2040,3.30E+01,1.80E+01,1.16E+02,3.11E-12
