date,Kp,Ap,F10.7
1957-10-01,273,21,268.0
1957-10-02,203,12,252.0
1957-10-03,250,19,265.0
1957-10-04,217,12,237.0
1957-10-05,193,10,245.0
1957-10-06,43,2,250.0
1957-10-07,120,6,253.0
1957-10-08,47,3,261.0
1957-10-09,150,7,275.0
1957-10-10,257,18,275.0
1957-10-11,267,19,278.0
1957-10-12,220,13,284.0
1957-10-13,290,26,281.0
1957-10-14,400,50,289.0
1957-10-15,203,12,277.0
1957-10-16,73,4,289.0
1957-10-17,140,7,272.0
1957-10-18,123,6,294.0
1957-10-19,163,9,291.0
1957-10-20,193,11,303.0
1957-10-21,273,28,282.0
1957-10-22,267,19,274.0
1957-10-23,253,20,295.0
1957-10-24,170,9,280.0
1957-10-25,163,8,259.0
1957-10-26,157,8,266.0
1957-10-27,203,12,296.0
1957-10-28,213,14,323.0
1957-10-29,263,18,342.0
1957-10-30,230,16,344.0
1957-10-31,140,8,318.0
1957-11-01,163,8,300.0
1957-11-02,147,7,289.0
1957-11-03,207,13,266.0
1957-11-04,77,4,236.0
1957-11-05,73,4,240.0
1957-11-06,193,24,239.0
1957-11-07,277,31,243.0
1957-11-08,247,18,235.0
1957-11-09,327,29,230.0
1957-11-10,307,26,232.0
1957-11-11,283,21,246.0
1957-11-12,250,17,257.0
1957-11-13,200,11,250.0
1957-11-14,287,22,248.0
1957-11-15,277,21,242.0
1957-11-16,190,10,242.0
1957-11-17,117,6,228.0
1957-11-18,300,25,247.0
1957-11-19,180,10,251.0
1957-11-20,190,10,261.0
1957-11-21,77,4,274.0
1957-11-22,120,6,294.0
1957-11-23,137,7,280.0
1957-11-24,213,12,285.0
1957-11-25,327,30,271.0
1957-11-26,427,64,259.0
1957-11-27,373,47,258.0
1957-11-28,317,28,255.0
1957-11-29,243,16,247.0
1957-11-30,187,10,278.0
1957-12-01,307,29,295.0
1957-12-02,247,16,270.0
1957-12-03,217,13,283.0
1957-12-04,173,10,278.0
1957-12-05,313,26,273.0
1957-12-06,317,28,271.0
1957-12-07,270,21,234.0
1957-12-08,197,11,242.0
1957-12-09,263,18,229.0
1957-12-10,290,22,210.0
1957-12-11,370,41,211.0
1957-12-12,330,29,209.0
1957-12-13,263,22,222.0
1957-12-14,163,8,228.0
1957-12-15,267,22,236.0
1957-12-16,223,13,252.0
1957-12-17,267,20,278.0
1957-12-18,200,11,291.0
1957-12-19,270,20,293.0
1957-12-20,270,20,333.0
1957-12-21,217,14,348.0
1957-12-22,87,4,365.0
1957-12-23,80,4,377.0
1957-12-24,133,7,370.0
1957-12-25,237,16,363.0
1957-12-26,257,18,356.0
1957-12-27,140,6,342.0
1957-12-28,83,4,317.0
1957-12-29,110,6,282.0
1957-12-30,233,18,276.0
1957-12-31,413,53,280.0
1958-01-01,380,48,257.0
1958-01-02,267,20,263.0
1958-01-03,83,4,262.0
1958-01-04,63,3,261.0
1958-01-05,127,6,246.0
1958-01-06,147,7,254.0
1958-01-07,133,6,255.0
1958-01-08,113,5,255.0
1958-01-09,200,12,259.0
1958-01-10,173,10,274.0
1958-01-11,210,12,273.0
1958-01-12,227,14,290.0
1958-01-13,237,16,310.0
1958-01-14,220,15,321.0
1958-01-15,240,15,309.0
1958-01-16,217,13,297.0
1958-01-17,290,22,285.0
1958-01-18,323,30,260.0
1958-01-19,207,12,238.0
1958-01-20,253,20,251.0
1958-01-21,297,33,239.0
1958-01-22,260,19,227.0
1958-01-23,287,22,210.0
1958-01-24,183,12,211.0
1958-01-25,253,19,206.0
1958-01-26,223,16,220.0
1958-01-27,153,8,200.0
1958-01-28,143,7,189.0
1958-01-29,217,14,194.0
1958-01-30,167,9,181.0
1958-01-31,167,8,187.0
1958-02-01,167,9,195.0
1958-02-02,163,9,217.0
1958-02-03,127,6,222.0
1958-02-04,223,17,233.0
1958-02-05,330,30,249.0
1958-02-06,333,30,252.0
1958-02-07,310,25,257.0
1958-02-08,317,27,250.0
1958-02-09,257,18,234.0
1958-02-10,277,24,231.0
1958-02-11,597,199,228.0
1958-02-12,423,59,226.0
1958-02-13,257,18,222.0
1958-02-14,280,23,210.0
1958-02-15,160,8,202.0
1958-02-16,210,14,187.0
1958-02-17,337,31,183.0
1958-02-18,337,32,177.0
1958-02-19,303,25,173.0
1958-02-20,310,26,172.0
1958-02-21,330,31,175.0
1958-02-22,307,25,176.0
1958-02-23,280,21,194.0
1958-02-24,163,8,206.0
1958-02-25,107,5,207.0
1958-02-26,140,7,205.0
1958-02-27,163,10,197.0
1958-02-28,230,15,196.0
1958-03-01,120,6,195.0
1958-03-02,123,7,209.0
1958-03-03,253,21,223.0
1958-03-04,320,28,232.0
1958-03-05,350,39,233.0
1958-03-06,353,36,251.0
1958-03-07,310,26,256.0
1958-03-08,277,22,251.0
1958-03-09,267,20,255.0
1958-03-10,260,18,242.0
1958-03-11,267,22,235.0
1958-03-12,407,64,232.0
1958-03-13,387,48,238.0
1958-03-14,220,20,227.0
1958-03-15,283,23,217.0
1958-03-16,230,16,214.0
1958-03-17,300,27,208.0
1958-03-18,333,34,210.0
1958-03-19,383,44,220.0
1958-03-20,360,38,232.0
1958-03-21,340,33,224.0
1958-03-22,250,24,266.0
1958-03-23,273,21,268.0
1958-03-24,313,27,274.0
1958-03-25,333,33,258.0
1958-03-26,303,27,284.0
1958-03-27,243,17,302.0
1958-03-28,227,15,295.0
1958-03-29,177,10,332.0
1958-03-30,300,32,344.0
1958-03-31,260,18,338.0
1958-04-01,270,19,331.0
1958-04-02,343,34,326.0
1958-04-03,260,18,302.0
1958-04-04,343,36,295.0
1958-04-05,303,26,290.0
1958-04-06,287,23,289.0
1958-04-07,257,17,283.0
1958-04-08,177,9,272.0
1958-04-09,160,9,250.0
1958-04-10,100,5,244.0
1958-04-11,143,7,216.0
1958-04-12,110,6,196.0
1958-04-13,120,6,179.0
1958-04-14,257,20,177.0
1958-04-15,293,25,188.0
1958-04-16,340,32,197.0
1958-04-17,410,54,207.0
1958-04-18,387,44,213.0
1958-04-19,300,24,221.0
1958-04-20,237,15,226.0
1958-04-21,223,14,229.0
1958-04-22,133,6,237.0
1958-04-23,130,7,235.0
1958-04-24,227,15,244.0
1958-04-25,173,11,241.0
1958-04-26,167,13,245.0
1958-04-27,170,10,247.0
1958-04-28,303,24,258.0
1958-04-29,333,31,255.0
1958-04-30,327,29,265.0
1958-05-01,280,21,266.0
1958-05-02,180,11,276.0
1958-05-03,137,7,278.0
1958-05-04,160,8,280.0
1958-05-05,190,12,269.0
1958-05-06,150,8,263.0
1958-05-07,120,6,249.0
1958-05-08,193,11,236.0
1958-05-09,180,10,239.0
1958-05-10,273,20,209.0
1958-05-11,163,10,211.0
1958-05-12,187,14,209.0
1958-05-13,313,29,203.0
1958-05-14,360,38,194.0
1958-05-15,310,27,196.0
1958-05-16,240,16,194.0
1958-05-17,253,17,194.0
1958-05-18,257,18,197.0
1958-05-19,187,10,197.0
1958-05-20,97,5,197.0
1958-05-21,117,6,199.0
1958-05-22,100,5,199.0
1958-05-23,80,4,206.0
1958-05-24,43,2,211.0
1958-05-25,140,10,207.0
1958-05-26,343,39,210.0
1958-05-27,290,24,201.0
1958-05-28,250,18,202.0
1958-05-29,403,52,219.0
1958-05-30,203,12,213.0
1958-05-31,380,72,209.0
1958-06-01,390,60,219.0
1958-06-02,293,26,220.0
1958-06-03,117,6,227.0
1958-06-04,113,5,246.0
1958-06-05,140,8,256.0
1958-06-06,203,15,260.0
1958-06-07,417,77,238.0
1958-06-08,187,13,233.0
1958-06-09,323,32,252.0
1958-06-10,330,31,234.0
1958-06-11,267,18,235.0
1958-06-12,233,15,227.0
1958-06-13,170,9,220.0
1958-06-14,180,15,208.0
1958-06-15,243,21,197.0
1958-06-16,180,10,191.0
1958-06-17,93,4,182.0
1958-06-18,130,7,177.0
1958-06-19,163,9,189.0
1958-06-20,130,8,193.0
1958-06-21,433,66,194.0
1958-06-22,350,38,213.0
1958-06-23,220,13,217.0
1958-06-24,263,18,221.0
1958-06-25,243,16,226.0
1958-06-26,167,8,233.0
1958-06-27,150,8,237.0
1958-06-28,357,55,232.0
1958-06-29,480,103,220.0
1958-06-30,173,9,217.0
1958-07-01,233,17,215.0
1958-07-02,137,6,215.0
1958-07-03,227,15,224.0
1958-07-04,277,21,232.0
1958-07-05,197,11,238.0
1958-07-06,110,6,232.0
1958-07-07,233,17,237.0
1958-07-08,553,200,232.0
1958-07-09,450,75,218.0
1958-07-10,240,17,208.0
1958-07-11,233,15,203.0
1958-07-12,280,21,188.0
1958-07-13,227,15,191.0
1958-07-14,217,14,182.0
1958-07-15,130,6,181.0
1958-07-16,140,7,192.0
1958-07-17,207,16,188.0
1958-07-18,340,34,190.0
1958-07-19,280,25,205.0
1958-07-20,283,22,200.0
1958-07-21,343,53,209.0
1958-07-22,263,20,214.0
1958-07-23,133,6,213.0
1958-07-24,243,18,228.0
1958-07-25,287,23,240.0
1958-07-26,187,11,260.0
1958-07-27,310,28,261.0
1958-07-28,170,10,290.0
1958-07-29,157,9,285.0
1958-07-30,203,12,287.0
1958-07-31,213,15,288.0
1958-08-01,217,15,274.0
1958-08-02,207,12,254.0
1958-08-03,177,10,237.0
1958-08-04,93,4,216.0
1958-08-05,103,5,221.0
1958-08-06,97,5,239.0
1958-08-07,187,12,235.0
1958-08-08,90,4,236.0
1958-08-09,137,7,225.0
1958-08-10,240,16,222.0
1958-08-11,230,15,225.0
1958-08-12,187,10,222.0
1958-08-13,193,12,236.0
1958-08-14,123,7,235.0
1958-08-15,177,9,231.0
1958-08-16,203,12,215.0
1958-08-17,413,82,211.0
1958-08-18,253,20,218.0
1958-08-19,203,11,219.0
1958-08-20,120,6,220.0
1958-08-21,130,6,231.0
1958-08-22,313,34,239.0
1958-08-23,217,13,243.0
1958-08-24,443,85,253.0
1958-08-25,237,18,263.0
1958-08-26,227,14,264.0
1958-08-27,423,64,252.0
1958-08-28,213,13,244.0
1958-08-29,200,11,252.0
1958-08-30,183,9,249.0
1958-08-31,137,7,259.0
1958-09-01,100,5,261.0
1958-09-02,97,5,281.0
1958-09-03,390,64,270.0
1958-09-04,490,131,256.0
1958-09-05,397,71,233.0
1958-09-06,140,6,216.0
1958-09-07,243,16,210.0
1958-09-08,247,20,211.0
1958-09-09,303,25,235.0
1958-09-10,207,12,245.0
1958-09-11,150,7,250.0
1958-09-12,103,5,270.0
1958-09-13,60,3,285.0
1958-09-14,87,4,290.0
1958-09-15,123,6,271.0
1958-09-16,370,40,263.0
1958-09-17,200,13,259.0
1958-09-18,83,4,246.0
1958-09-19,83,4,243.0
1958-09-20,90,4,231.0
1958-09-21,80,4,221.0
1958-09-22,67,4,249.0
1958-09-23,100,5,226.0
1958-09-24,120,6,225.0
1958-09-25,470,82,222.0
1958-09-26,290,25,218.0
1958-09-27,187,10,219.0
1958-09-28,147,8,225.0
1958-09-29,97,5,227.0
1958-09-30,233,20,228.0
1958-10-01,217,15,231.0
1958-10-02,173,11,221.0
1958-10-03,250,18,219.0
1958-10-04,97,5,215.0
1958-10-05,220,13,199.0
1958-10-06,197,12,189.0
1958-10-07,227,14,189.0
1958-10-08,160,10,187.0
1958-10-09,97,5,192.0
1958-10-10,77,4,198.0
1958-10-11,117,6,210.0
1958-10-12,63,3,219.0
1958-10-13,137,7,225.0
1958-10-14,140,7,228.0
1958-10-15,187,10,230.0
1958-10-16,153,9,253.0
1958-10-17,170,9,286.0
1958-10-18,153,8,286.0
1958-10-19,167,8,296.0
1958-10-20,120,6,278.0
1958-10-21,130,6,277.0
1958-10-22,363,47,270.0
1958-10-23,387,44,240.0
1958-10-24,487,89,227.0
1958-10-25,160,10,191.0
1958-10-26,190,11,194.0
1958-10-27,290,30,191.0
1958-10-28,350,37,209.0
1958-10-29,263,20,220.0
1958-10-30,270,19,228.0
1958-10-31,207,12,222.0
1958-11-01,150,7,234.0
1958-11-02,197,16,241.0
1958-11-03,203,12,224.0
1958-11-04,173,10,220.0
1958-11-05,47,3,222.0
1958-11-06,57,3,204.0
1958-11-07,127,6,206.0
1958-11-08,60,3,191.0
1958-11-09,83,4,180.0
1958-11-10,200,12,169.0
1958-11-11,210,17,166.0
1958-11-12,167,9,166.0
1958-11-13,120,6,163.0
1958-11-14,60,3,166.0
1958-11-15,110,6,166.0
1958-11-16,167,9,169.0
1958-11-17,167,9,173.0
1958-11-18,160,8,174.0
1958-11-19,107,5,183.0
1958-11-20,80,4,187.0
1958-11-21,73,4,194.0
1958-11-22,63,3,200.0
1958-11-23,123,7,213.0
1958-11-24,153,8,229.0
1958-11-25,167,10,243.0
1958-11-26,167,8,264.0
1958-11-27,180,9,268.0
1958-11-28,257,18,259.0
1958-11-29,190,12,263.0
1958-11-30,33,2,264.0
1958-12-01,43,2,268.0
1958-12-02,260,23,259.0
1958-12-03,123,7,241.0
1958-12-04,397,54,241.0
1958-12-05,247,28,253.0
1958-12-06,190,12,249.0
1958-12-07,117,6,253.0
1958-12-08,153,10,260.0
1958-12-09,183,12,254.0
1958-12-10,73,4,269.0
1958-12-11,160,8,256.0
1958-12-12,120,6,257.0
1958-12-13,390,50,260.0
1958-12-14,257,19,258.0
1958-12-15,183,10,235.0
1958-12-16,230,16,217.0
1958-12-17,250,30,204.0
1958-12-18,267,33,202.0
1958-12-19,273,21,187.0
1958-12-20,237,15,199.0
1958-12-21,163,8,198.0
1958-12-22,173,9,211.0
1958-12-23,200,12,215.0
1958-12-24,150,7,224.0
1958-12-25,90,4,231.0
1958-12-26,210,13,238.0
1958-12-27,207,12,227.0
1958-12-28,227,14,223.0
1958-12-29,180,10,219.0
1958-12-30,210,12,224.0
1958-12-31,143,7,226.0
1959-01-01,20,1,235.0
1959-01-02,70,3,250.0
1959-01-03,137,6,266.0
1959-01-04,137,7,270.0
1959-01-05,263,25,282.0
1959-01-06,300,24,294.0
1959-01-07,257,19,306.0
1959-01-08,257,18,278.0
1959-01-09,323,38,268.0
1959-01-10,390,45,282.0
1959-01-11,213,14,260.0
1959-01-12,210,13,251.0
1959-01-13,170,9,235.0
1959-01-14,143,8,224.0
1959-01-15,147,8,207.0
1959-01-16,230,17,213.0
1959-01-17,257,18,220.0
1959-01-18,267,19,237.0
1959-01-19,187,10,265.0
1959-01-20,80,4,294.0
1959-01-21,63,3,315.0
1959-01-22,140,7,337.0
1959-01-23,153,8,328.0
1959-01-24,83,4,334.0
1959-01-25,220,18,321.0
1959-01-26,223,22,314.0
1959-01-27,167,9,314.0
1959-01-28,183,9,322.0
1959-01-29,237,17,304.0
1959-01-30,190,11,262.0
1959-01-31,213,14,224.0
1959-02-01,197,11,205.0
1959-02-02,290,23,205.0
1959-02-03,283,22,204.0
1959-02-04,353,36,201.0
1959-02-05,303,24,191.0
1959-02-06,260,18,195.0
1959-02-07,190,11,182.0
1959-02-08,203,12,182.0
1959-02-09,267,23,174.0
1959-02-10,107,6,190.0
1959-02-11,327,36,199.0
1959-02-12,293,24,199.0
1959-02-13,270,21,201.0
1959-02-14,313,30,199.0
1959-02-15,340,37,213.0
1959-02-16,423,61,214.0
1959-02-17,247,24,220.0
1959-02-18,93,4,218.0
1959-02-19,207,12,218.0
1959-02-20,80,4,228.0
1959-02-21,127,6,224.0
1959-02-22,250,17,219.0
1959-02-23,197,15,212.0
1959-02-24,80,4,220.0
1959-02-25,433,69,227.0
1959-02-26,397,48,219.0
1959-02-27,317,30,211.0
1959-02-28,377,44,201.0
1959-03-01,377,42,187.0
1959-03-02,337,31,181.0
1959-03-03,297,23,181.0
1959-03-04,227,14,178.0
1959-03-05,213,12,179.0
1959-03-06,113,6,190.0
1959-03-07,127,6,188.0
1959-03-08,157,11,191.0
1959-03-09,87,4,198.0
1959-03-10,47,2,204.0
1959-03-11,90,4,201.0
1959-03-12,257,18,194.0
1959-03-13,207,12,207.0
1959-03-14,147,8,215.0
1959-03-15,127,6,235.0
1959-03-16,83,4,246.0
1959-03-17,120,6,259.0
1959-03-18,117,7,274.0
1959-03-19,123,6,281.0
1959-03-20,110,5,285.0
1959-03-21,120,6,287.0
1959-03-22,103,5,262.0
1959-03-23,193,11,258.0
1959-03-24,160,8,247.0
1959-03-25,313,31,248.0
1959-03-26,410,81,247.0
1959-03-27,607,178,246.0
1959-03-28,463,87,248.0
1959-03-29,447,73,245.0
1959-03-30,253,20,258.0
1959-03-31,257,19,254.0
1959-04-01,153,11,256.0
1959-04-02,127,6,236.0
1959-04-03,200,12,216.0
1959-04-04,133,7,215.0
1959-04-05,127,6,196.0
1959-04-06,130,6,196.0
1959-04-07,160,8,217.0
1959-04-08,277,22,215.0
1959-04-09,350,44,215.0
1959-04-10,477,98,220.0
1959-04-11,287,23,232.0
1959-04-12,177,10,224.0
1959-04-13,177,9,209.0
1959-04-14,197,11,198.0
1959-04-15,167,10,189.0
1959-04-16,130,6,188.0
1959-04-17,140,7,190.0
1959-04-18,97,5,181.0
1959-04-19,93,4,196.0
1959-04-20,97,5,203.0
1959-04-21,157,8,203.0
1959-04-22,47,3,199.0
1959-04-23,273,40,213.0
1959-04-24,313,27,213.0
1959-04-25,283,22,211.0
1959-04-26,257,18,218.0
1959-04-27,223,14,212.0
1959-04-28,200,12,216.0
1959-04-29,293,24,211.0
1959-04-30,253,21,220.0
1959-05-01,173,9,204.0
1959-05-02,140,7,194.0
1959-05-03,120,7,195.0
1959-05-04,230,16,184.0
1959-05-05,260,29,186.0
1959-05-06,60,3,202.0
1959-05-07,103,6,208.0
1959-05-08,333,33,244.0
1959-05-09,250,16,249.0
1959-05-10,233,14,259.0
1959-05-11,293,26,264.0
1959-05-12,510,108,266.0
1959-05-13,223,14,264.0
1959-05-14,100,5,244.0
1959-05-15,320,33,228.0
1959-05-16,313,36,222.0
1959-05-17,210,13,224.0
1959-05-18,287,24,213.0
1959-05-19,227,14,199.0
1959-05-20,190,10,201.0
1959-05-21,217,13,201.0
1959-05-22,237,15,201.0
1959-05-23,207,12,198.0
1959-05-24,387,52,199.0
1959-05-25,273,25,203.0
1959-05-26,137,7,205.0
1959-05-27,97,5,208.0
1959-05-28,60,3,195.0
1959-05-29,50,3,176.0
1959-05-30,107,6,177.0
1959-05-31,273,22,179.0
1959-06-01,150,7,193.0
1959-06-02,267,19,198.0
1959-06-03,243,16,198.0
1959-06-04,283,22,190.0
1959-06-05,233,15,197.0
1959-06-06,207,12,210.0
1959-06-07,167,8,198.0
1959-06-08,193,11,213.0
1959-06-09,267,19,223.0
1959-06-10,200,12,228.0
1959-06-11,237,24,226.0
1959-06-12,117,6,220.0
1959-06-13,83,4,212.0
1959-06-14,157,9,208.0
1959-06-15,150,8,225.0
1959-06-16,137,6,220.0
1959-06-17,97,6,225.0
1959-06-18,167,8,228.0
1959-06-19,150,7,237.0
1959-06-20,153,8,226.0
1959-06-21,150,8,228.0
1959-06-22,200,11,219.0
1959-06-23,220,15,220.0
1959-06-24,247,26,232.0
1959-06-25,130,6,233.0
1959-06-26,213,14,238.0
1959-06-27,270,31,240.0
1959-06-28,340,34,224.0
1959-06-29,387,51,219.0
1959-06-30,350,38,196.0
1959-07-01,100,5,188.0
1959-07-02,197,14,174.0
1959-07-03,103,5,171.0
1959-07-04,197,15,177.0
1959-07-05,243,16,176.0
1959-07-06,193,11,188.0
1959-07-07,227,14,192.0
1959-07-08,227,14,185.0
1959-07-09,253,18,185.0
1959-07-10,200,13,201.0
1959-07-11,340,44,194.0
1959-07-12,253,24,234.0
1959-07-13,193,11,243.0
1959-07-14,237,16,264.0
1959-07-15,610,236,245.0
1959-07-16,363,47,261.0
1959-07-17,433,110,240.0
1959-07-18,517,119,231.0
1959-07-19,330,31,222.0
1959-07-20,260,18,208.0
1959-07-21,247,16,189.0
1959-07-22,217,13,178.0
1959-07-23,210,13,178.0
1959-07-24,297,28,181.0
1959-07-25,363,38,182.0
1959-07-26,347,33,182.0
1959-07-27,300,25,200.0
1959-07-28,220,13,205.0
1959-07-29,177,10,207.0
1959-07-30,73,4,204.0
1959-07-31,233,15,208.0
1959-08-01,277,20,214.0
1959-08-02,230,16,228.0
1959-08-03,257,20,240.0
1959-08-04,250,19,236.0
1959-08-05,173,9,229.0
1959-08-06,270,22,227.0
1959-08-07,230,14,212.0
1959-08-08,217,14,204.0
1959-08-09,277,22,204.0
1959-08-10,217,14,202.0
1959-08-11,160,8,200.0
1959-08-12,113,5,196.0
1959-08-13,127,6,194.0
1959-08-14,127,6,189.0
1959-08-15,280,27,190.0
1959-08-16,530,130,201.0
1959-08-17,517,114,224.0
1959-08-18,313,28,229.0
1959-08-19,273,21,215.0
1959-08-20,343,38,224.0
1959-08-21,347,34,230.0
1959-08-22,310,27,243.0
1959-08-23,323,28,262.0
1959-08-24,260,20,245.0
1959-08-25,230,15,253.0
1959-08-26,153,8,257.0
1959-08-27,90,5,279.0
1959-08-28,60,3,302.0
1959-08-29,207,13,308.0
1959-08-30,183,9,312.0
1959-08-31,187,9,305.0
1959-09-01,273,20,282.0
1959-09-02,340,34,269.0
1959-09-03,310,39,257.0
1959-09-04,513,103,239.0
1959-09-05,343,34,220.0
1959-09-06,220,18,200.0
1959-09-07,143,7,192.0
1959-09-08,187,10,199.0
1959-09-09,120,6,209.0
1959-09-10,143,8,201.0
1959-09-11,237,15,203.0
1959-09-12,217,14,195.0
1959-09-13,180,14,189.0
1959-09-14,263,18,196.0
1959-09-15,253,18,184.0
1959-09-16,233,16,168.0
1959-09-17,273,23,170.0
1959-09-18,307,27,167.0
1959-09-19,323,36,175.0
1959-09-20,430,61,185.0
1959-09-21,483,86,182.0
1959-09-22,440,73,188.0
1959-09-23,290,24,182.0
1959-09-24,293,24,183.0
1959-09-25,357,37,175.0
1959-09-26,293,23,164.0
